raceId,driverId,constructorId,qualifying_position,q1,q2,q3,points,position,wins,resultId,grid,final_position,positionOrder,points_per_race,laps,fastestLap,fastestLapTime,fastestLapSpeed,statusId,constructor_points,constructor_position,constructor_wins,avg_position_last_5,points_before_race,circuitId,year,avg_position_circuit,grid_qual_diff,avg_position_per_season,avg_points_per_race_season,avg_constructor_position_season,avg_fastest_lap_speed,avg_pit_stop_duration,avg_lap_time_circuit
2,1,1,13,95.28,94.905,,1.0,10,0,7580,12,7,7,1.0,31,17,99.14099999999999,201.276,1,1.0,8,0,,0.0,2,2009,5.181818181818182,-1,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,110.49191304347826
3,1,1,9,95.77600000000001,95.74000000000001,98.595,4.0,10,0,7599,9,6,6,3.0,56,39,114.66499999999999,171.138,1,8.0,4,0,7.0,1.0,17,2009,4.214285714285714,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,106.5664419525066
4,1,1,5,92.851,92.87700000000001,94.196,9.0,7,0,7617,5,4,4,5.0,57,13,94.91499999999999,205.269,1,13.0,4,0,6.5,5.0,3,2009,3.7058823529411766,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,102.34915954118874
5,1,1,14,80.991,80.805,,9.0,7,0,7642,14,9,9,0.0,65,29,83.839,199.883,11,13.0,4,0,5.666666666666667,14.0,4,2009,4.944444444444445,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,87.52436436884511
6,1,1,16,76.264,,,9.0,9,0,7665,19,12,12,0.0,77,65,75.706,158.824,11,13.0,5,0,6.5,23.0,6,2009,4.588235294117647,3,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,88.37359816653934
7,1,1,16,88.318,,,9.0,11,0,7686,16,13,13,0.0,58,53,88.562,216.986,1,13.0,5,0,7.6,32.0,5,2009,4.428571428571429,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,93.98132019704433
8,1,1,19,79.917,,,9.0,11,0,7709,18,16,16,0.0,59,24,82.576,224.128,11,13.0,6,0,8.8,41.0,9,2009,2.9473684210526314,-1,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,106.65777998017839
9,1,1,5,91.473,99.149,92.616,9.0,11,0,7731,5,18,18,0.0,59,46,95.36699999999999,194.331,11,14.0,6,0,10.8,50.0,20,2009,6.8,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,104.65726174496645
10,1,1,4,80.842,80.465,81.839,19.0,8,1,7734,4,1,1,10.0,70,16,82.479,191.219,1,28.0,5,1,13.6,59.0,11,2009,3.388888888888889,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,87.65004624277456
11,1,1,1,98.649,98.182,99.489,27.0,6,1,7755,1,2,2,8.0,57,57,99.056,196.943,1,41.0,4,1,12.0,78.0,12,2009,5.8,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,104.58954416961132
12,1,1,12,105.767,105.122,,27.0,7,1,7792,12,0,19,0.0,0,0,,0.0,4,44.0,4,1,10.0,105.0,13,2009,7.333333333333333,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,117.1395017301038
13,1,1,1,83.375,82.973,84.066,27.0,7,1,7805,1,12,12,0.0,52,52,84.80199999999999,245.923,3,47.0,4,1,11.2,132.0,14,2009,5.944444444444445,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,90.9035908045977
14,1,1,1,106.977,106.657,107.89099999999999,37.0,6,2,7814,1,1,1,10.0,61,36,108.345,168.561,1,59.0,4,2,10.4,159.0,15,2009,6.866666666666666,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,115.68100244798042
15,1,1,3,90.917,90.627,92.39500000000001,43.0,6,2,7836,3,3,3,6.0,53,13,93.259,224.162,1,65.0,4,2,7.0,196.0,22,2009,4.785714285714286,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,107.71330862329803
16,1,1,18,85.19200000000001,,,49.0,5,2,7856,17,3,3,6.0,71,59,74.345,208.654,1,71.0,3,2,7.4,239.0,18,2009,6.352941176470588,-1,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,86.4187908777969
17,1,1,1,99.87299999999999,99.695,100.94800000000001,49.0,5,2,16085,1,0,19,0.0,20,16,100.36699999999999,199.212,23,71.0,3,2,7.6,288.0,24,2009,5.875,0,9.0625,3.0625,4.5625,201.26410704225353,75.92492222222222,102.6986173594132
18,1,1,1,86.572,85.187,86.714,10.0,1,1,1,1,1,1,10.0,58,39,87.452,218.3,1,14.0,1,1,7.6,337.0,1,2008,4.8,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,99.37417291414752
19,1,1,4,95.392,94.62700000000001,96.709,14.0,1,1,27,9,5,5,4.0,56,53,95.462,209.033,1,24.0,1,1,5.4,347.0,2,2008,5.181818181818182,5,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,110.49191304347826
20,1,1,3,92.75,91.922,93.292,14.0,3,1,57,3,13,13,0.0,56,25,95.52000000000001,203.969,11,28.0,3,1,6.2,361.0,3,2008,3.7058823529411766,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,102.34915954118874
21,1,1,5,81.366,80.825,82.096,20.0,2,1,69,5,3,3,6.0,66,20,82.017,204.323,1,34.0,3,1,8.2,375.0,4,2008,4.944444444444445,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,87.52436436884511
22,1,1,3,86.19200000000001,86.477,87.923,28.0,3,1,90,3,2,2,8.0,58,31,86.529,222.085,1,42.0,3,1,8.2,395.0,5,2008,4.428571428571429,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,93.98132019704433
23,1,1,3,75.582,75.322,75.839,38.0,1,2,109,3,1,1,10.0,76,71,78.51,153.152,1,53.0,2,2,4.8,423.0,6,2008,4.588235294117647,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,88.37359816653934
24,1,1,1,76.90899999999999,77.03399999999999,77.886,38.0,2,2,147,1,0,19,0.0,19,4,77.506,202.559,4,53.0,3,2,4.8,461.0,7,2008,5.666666666666667,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,81.84099120879121
25,1,1,3,75.634,75.293,76.693,38.0,4,2,158,13,10,10,0.0,70,40,77.453,205.022,1,58.0,3,2,7.6,499.0,8,2008,6.5,10,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,78.93656428571428
26,1,1,4,80.288,79.537,81.83500000000001,48.0,1,3,169,4,1,1,10.0,60,16,92.81700000000001,199.398,1,72.0,3,3,7.0,537.0,9,2008,2.9473684210526314,0,5.222222222222222,5.444444444444445,2.2222222222222223,201.26410704225353,75.92492222222222,106.65777998017839
